model,query_id,coverage_score,precision,recall,f1_score,semantic_accuracy,coherence_score,reasoning_quality,error_types,missing_concepts
Gemini_2.0_Flash,simple_01,0.4,1.0,1.0,1.0,0.5367347002029419,0.0,1.0,,Humans;Female;Male
Gemini_2.0_Flash,complex_01,1.0,1.0,0.8,0.888888888888889,0.5794105529785156,0.0,1.0,,
Gemini_2.0_Flash,complex_02,0.2,1.0,0.2,0.33333333333333337,0.3323296904563904,0.0,1.0,missing_key_concepts;off_topic,instrumental variables;causal inference;confounding;pleiotropy
Gemini_2.0_Flash,hypothesis_01,1.0,1.0,1.0,1.0,0.40740272402763367,0.0,1.0,,
ChatGPT_4o,simple_01,0.6,1.0,0.8,0.888888888888889,0.5021634101867676,1.0,1.0,off_topic,Female;Male
ChatGPT_4o,complex_01,1.0,1.0,0.8,0.888888888888889,0.5032366514205933,0.0,1.0,,
ChatGPT_4o,complex_02,0.2,1.0,0.2,0.33333333333333337,0.346567302942276,0.0,1.0,,instrumental variables;causal inference;confounding;pleiotropy
ChatGPT_4o,hypothesis_01,1.0,1.0,0.75,0.8571428571428571,0.43119966983795166,0.0,1.0,missing_key_concepts,
Claude_Sonnet,simple_01,0.4,1.0,1.0,1.0,0.5048501491546631,0.0,1.0,,Humans;Female;Male
Claude_Sonnet,complex_01,1.0,1.0,1.0,1.0,0.5905195474624634,0.0,1.0,missing_key_concepts,
Claude_Sonnet,complex_02,0.2,1.0,0.4,0.5714285714285715,0.33977216482162476,0.0,1.0,off_topic,instrumental variables;causal inference;confounding;pleiotropy
Claude_Sonnet,hypothesis_01,1.0,1.0,1.0,1.0,0.41915810108184814,0.0,1.0,missing_key_concepts,
Random_Baseline,simple_01,0.0,0.0,0.0,0.0,0.3959631323814392,0.0,1.0,missing_key_concepts;off_topic,Humans;Female;Male;GWAS;Risk Factors
Random_Baseline,simple_02,0.0,0.0,0.0,0.0,0.3444978594779968,0.0,1.0,missing_key_concepts;off_topic,George Davey Smith;Naveed Sattar;Kari Stefansson
Random_Baseline,complex_01,0.8,0.0,0.0,0.0,0.24750256538391113,0.0,1.0,missing_key_concepts;off_topic,insulin resistance
Random_Baseline,complex_02,0.4,0.0,0.0,0.0,0.44226938486099243,0.0,1.0,missing_key_concepts;off_topic,instrumental variables;confounding;pleiotropy
Random_Baseline,hypothesis_01,0.25,0.0,0.0,0.0,0.26632213592529297,0.0,0.0,missing_key_concepts;off_topic,multi-omics integration;rare variants;biomarker discovery
SimpleRule_Baseline,simple_01,0.4,1.0,0.4,0.5714285714285715,0.28845879435539246,0.0,1.0,missing_key_concepts,Humans;Female;Male
SimpleRule_Baseline,simple_02,0.0,0.0,0.0,0.0,0.2982581853866577,1.0,1.0,missing_key_concepts,George Davey Smith;Naveed Sattar;Kari Stefansson
SimpleRule_Baseline,complex_01,0.8,1.0,0.4,0.5714285714285715,0.5705636143684387,0.0,1.0,,inflammation
SimpleRule_Baseline,complex_02,0.6,1.0,0.8,0.888888888888889,0.629258394241333,0.0,0.0,off_topic,confounding;pleiotropy
SimpleRule_Baseline,hypothesis_01,1.0,1.0,0.5,0.6666666666666666,0.5364634990692139,1.0,1.0,,
