model,query_id,coverage_score,precision,recall,f1_score,semantic_accuracy,coherence_score,reasoning_quality,error_types,missing_concepts,response_length,is_baseline
ChatGPT_4o,keywords,0.9230769230769231,1.0,0.46153846153846156,0.631578947368421,0.6819801330566406,0.0,1.0,,population,119,False
ChatGPT_4o,institutions,0.5,1.0,0.2857142857142857,0.4444444444444445,0.39306381344795227,0.0,0.9174311926605504,,Imperial College;UCL;King's College;Manchester;applications;global;collaboration,109,False
ChatGPT_4o,authors,0.6363636363636364,1.0,0.8181818181818182,0.9,0.8021653890609741,0.07317073170731708,0.2982107355864811,,Naomi Allen;Cathie Sudlow;Paul Elliott;collaboration,503,False
ChatGPT_4o,citations,0.6153846153846154,1.0,0.46153846153846156,0.631578947368421,0.5851761102676392,0.21428571428571427,0.7281553398058253,poor_query_alignment,methodology;replication;high-impact;research areas;validation,206,False
ChatGPT_o1,keywords,0.8461538461538461,1.0,0.9230769230769231,0.9600000000000001,0.6600561141967773,0.0,0.3225806451612903,,cancer;population,620,False
ChatGPT_o1,institutions,0.9285714285714286,1.0,0.9285714285714286,0.962962962962963,0.581981897354126,0.20689655172413796,0.44150110375275936,,collaboration,453,False
ChatGPT_o1,authors,0.6363636363636364,1.0,0.9090909090909091,0.9523809523809523,0.7278410196304321,0.06666666666666667,0.23076923076923078,,Naomi Allen;Cathie Sudlow;Paul Elliott;collaboration,650,False
ChatGPT_o1,citations,0.3076923076923077,1.0,0.6923076923076923,0.8181818181818181,0.5882053375244141,0.05454545454545455,0.2145922746781116,,GWAS;diabetes;cancer;methodology;replication;novel discoveries;risk prediction;high-impact;validation,932,False
ChatGPT_o1_pro,keywords,0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666,0.6785244941711426,0.0,0.41379310344827586,,cancer;population,725,False
ChatGPT_o1_pro,institutions,0.5714285714285714,1.0,0.8571428571428571,0.923076923076923,0.5221933722496033,0.06521739130434782,0.23752969121140144,,Imperial College;UCL;King's College;Manchester;global;collaboration,842,False
ChatGPT_o1_pro,authors,0.7272727272727273,1.0,0.9090909090909091,0.9523809523809523,0.682101845741272,0.057692307692307696,0.2676659528907923,,Naomi Allen;Cathie Sudlow;Paul Elliott,934,False
ChatGPT_o1_pro,citations,0.38461538461538464,1.0,0.6923076923076923,0.8181818181818181,0.5941929817199707,0.10526315789473684,0.34168564920273353,,diabetes;cancer;methodology;replication;risk prediction;high-impact;research areas;validation,878,False
Claude_Sonnet,keywords,0.7692307692307693,1.0,0.9230769230769231,0.9600000000000001,0.6517109870910645,0.5,1.0,,genetics;cancer;population,178,False
Claude_Sonnet,institutions,0.5714285714285714,1.0,0.21428571428571427,0.35294117647058826,0.4286883771419525,0.42857142857142855,1.0,,Imperial College;UCL;King's College;Manchester;global;collaboration,178,False
Claude_Sonnet,authors,0.45454545454545453,1.0,0.18181818181818182,0.3076923076923077,0.6577832698822021,0.0,1.0,,Naomi Allen;Cathie Sudlow;Paul Elliott;John Danesh;Principal Investigator;collaboration,144,False
Claude_Sonnet,citations,0.3076923076923077,1.0,0.38461538461538464,0.5555555555555556,0.4836670756340027,0.8571428571428571,0.8620689655172414,,GWAS;diabetes;cancer;methodology;replication;novel discoveries;risk prediction;high-impact;validation,174,False
Gemini,keywords,0.9230769230769231,1.0,0.6153846153846154,0.761904761904762,0.6912336349487305,0.0,0.7751937984496123,,population,129,False
Gemini,institutions,0.7857142857142857,1.0,0.9285714285714286,0.962962962962963,0.6017558574676514,0.3529411764705882,0.7692307692307693,,UCL;global;collaboration,325,False
Gemini,authors,0.6363636363636364,1.0,0.9090909090909091,0.9523809523809523,0.727857232093811,0.13636363636363638,0.5030181086519115,,Naomi Allen;Cathie Sudlow;Paul Elliott;collaboration,497,False
Gemini,citations,0.38461538461538464,1.0,0.5384615384615384,0.7000000000000001,0.5317041277885437,0.42857142857142855,0.5633802816901409,,cardiovascular;diabetes;cancer;methodology;replication;risk prediction;high-impact;validation,355,False
Mistral_Large_2,keywords,0.9230769230769231,1.0,0.6923076923076923,0.8181818181818181,0.6348851919174194,0.0,0.2724795640326976,,population,367,False
Mistral_Large_2,institutions,0.5,1.0,0.21428571428571427,0.35294117647058826,0.41452139616012573,0.2,0.797872340425532,,Imperial College;UCL;King's College;Manchester;applications;global;collaboration,188,False
Mistral_Large_2,authors,0.36363636363636365,1.0,0.18181818181818182,0.3076923076923077,0.7181758880615234,0.6,0.9803921568627451,,Rory Collins;Naomi Allen;Cathie Sudlow;Paul Elliott;John Danesh;George Davey Smith;collaboration,153,False
Mistral_Large_2,citations,0.38461538461538464,1.0,0.5384615384615384,0.7000000000000001,0.5760353803634644,0.0,0.2849002849002849,,methodology;replication;novel discoveries;risk prediction;high-impact;citations;research areas;validation,351,False
Meta_Llama_3_1_405B,keywords,0.9230769230769231,1.0,0.6923076923076923,0.8181818181818181,0.6308295726776123,0.0,0.37593984962406013,,population,266,False
Meta_Llama_3_1_405B,institutions,0.7857142857142857,1.0,0.7857142857142857,0.88,0.5431734323501587,0.0,0.11389521640091117,,UCL;global;collaboration,439,False
Meta_Llama_3_1_405B,authors,0.5454545454545454,1.0,0.5454545454545454,0.7058823529411764,0.7227437496185303,0.13636363636363638,0.19083969465648853,,Naomi Allen;Cathie Sudlow;Paul Elliott;Principal Investigator;collaboration,262,False
Meta_Llama_3_1_405B,citations,0.3076923076923077,1.0,0.23076923076923078,0.375,0.5660192966461182,0.0,0.4115226337448559,,diabetes;cancer;methodology;replication;novel discoveries;risk prediction;high-impact;research areas;validation,486,False
DeepThink_R1,keywords,0.8461538461538461,1.0,0.9230769230769231,0.9600000000000001,0.6325303912162781,0.0,0.35149384885764495,,cancer;population,569,False
DeepThink_R1,institutions,0.5,1.0,0.8571428571428571,0.923076923076923,0.47781941294670105,0.21428571428571427,0.436046511627907,,Imperial College;UCL;King's College;Manchester;Edinburgh;global;collaboration,344,False
DeepThink_R1,authors,0.45454545454545453,1.0,0.18181818181818182,0.3076923076923077,0.6416337490081787,0.27272727272727276,0.7109004739336493,,Naomi Allen;Cathie Sudlow;Paul Elliott;John Danesh;Principal Investigator;collaboration,211,False
DeepThink_R1,citations,0.5384615384615384,1.0,0.5384615384615384,0.7000000000000001,0.7626229524612427,0.0,0.4587155963302752,,cancer;methodology;replication;novel discoveries;high-impact;validation,545,False
Random_Baseline,keywords,0.9230769230769231,1.0,0.38461538461538464,0.5555555555555556,0.8210726380348206,0.0,1.0,poor_query_alignment,GWAS,15,True
Random_Baseline,institutions,0.7142857142857143,1.0,0.07142857142857142,0.13333333333333333,0.5862751007080078,0.0,1.0,,Manchester;Edinburgh;Bristol;global,14,True
Random_Baseline,authors,0.45454545454545453,1.0,0.09090909090909091,0.16666666666666669,0.5292755365371704,0.0,1.0,poor_query_alignment,Rory Collins;Naomi Allen;Cathie Sudlow;Paul Elliott;John Danesh;George Davey Smith,13,True
Random_Baseline,citations,0.46153846153846156,1.0,0.15384615384615385,0.2666666666666667,0.5642398595809937,0.0,1.0,,GWAS;cardiovascular;diabetes;cancer;replication;risk prediction;validation,16,True
SimpleRule_Baseline,keywords,0.9230769230769231,1.0,0.9230769230769231,0.9600000000000001,0.7592479586601257,0.0,1.0,,population,32,True
SimpleRule_Baseline,institutions,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273,0.7247570157051086,0.0,0.0,,applications;global;collaboration,35,True
SimpleRule_Baseline,authors,0.9090909090909091,1.0,0.5454545454545454,0.7058823529411764,0.9290538430213928,0.0,1.0,,Paul Elliott,34,True
SimpleRule_Baseline,citations,0.6153846153846154,1.0,0.5384615384615384,0.7000000000000001,0.7985445261001587,0.0,1.0,,diabetes;methodology;replication;risk prediction;validation,31,True
